Id,Name,Type,Latitude Deg,Longitude Deg
2819,Oudtshoorn Airport,medium_airport,-33.606998444,22.188999176
2858,Ysterplaat Air Force Base,medium_airport,-33.900199890,18.498300552
2896,Mongu Airport,medium_airport,-15.254500389,23.162300110
508595,Kalumbila Airport,medium_airport,-12.25358,25.44432
2898,Southdowns Airport,medium_airport,-12.900500298,28.149900436
2891,Kasompe Airport,medium_airport,-12.572799683,27.893899918
2892,Lusaka City Airport,medium_airport,-15.413800240,28.330699921
3008,Mutoko Airport,medium_airport,-17.431900024,32.184501648
3013,Gweru - Thornhill Air Base,medium_airport,-19.436718,29.861945
3014,Hwange National Park Airport,medium_airport,-18.629899979,27.020999908
3010,Masvingo International Airport,medium_airport,-20.055299759,30.859100342
3003,Buffalo Range Airport,medium_airport,-21.008101,31.5786
3006,Kariba International Airport,medium_airport,-16.5198,28.885
5059,AerÃ³dromo Williams,medium_airport,-77.867401,167.057007
336951,Boulder Clay Runway,medium_airport,-74.739373,164.03539
5054,South Pole Station Airport,medium_airport,-90,0
336953,Concordia Skyway,medium_airport,-75.103278,123.35825
336959,Vostok Skiway,medium_airport,-78.466139,106.84825
5227,Al Bateen Executive Airport,medium_airport,24.428301,54.458099
315653,Sir Bani Yas Airport,medium_airport,24.283611,52.580278
510593,(Duplicate)Sweihan Air Base,medium_airport,0.02,0.02
5231,Al Dhafra Air Base,medium_airport,24.248199463,54.547698975
5236,Al Minhad Air Base,medium_airport,25.026800156,55.366199493
5074,Maymana Zahiraddin Faryabi Airport,medium_airport,35.930801,64.760902
5078,Kunduz Airport,medium_airport,36.6651,68.910797
332240,"""Ghost"" International Airport",medium_airport,33.284605,69.80734
5071,Jalalabad Airport,medium_airport,34.399799,70.498596
5070,Bagram Airfield,medium_airport,34.946098,69.264999
6445,Erebuni Airport,medium_airport,40.122100830,44.465000153
44941,Zabrat Airport,medium_airport,40.495542216,49.976806641
77,Baku Kala Air Base,medium_airport,40.406600952,50.200199127
75,Kyurdamir Air Base,medium_airport,40.273601532,48.163600922
44962,Qizilagach Air Base,medium_airport,39.006162,48.806312
78,Dollyar Air Base,medium_airport,40.8876,45.957001
73,Nasosnaya Air Base,medium_airport,40.591599,49.5574
74,Stepanakert Airport,medium_airport,39.901402,46.786999
44954,Sitalchay Airbase,medium_airport,40.807313,49.431481
43883,Zaqatala International Airport,medium_airport,41.557823,46.669464
26528,Ishurdi Airport,medium_airport,24.152500153,89.049400330
5080,Sheik Isa Air Base,medium_airport,25.918399811,50.590599060
308995,Gelephu Airport,medium_airport,26.88456,90.46412
44082,Beijing Shahezhen Air Base,medium_airport,40.149166107,116.321388245
44083,Beijing Tongxian Air Base,medium_airport,39.811111450,116.708335876
44092,Liangxiangzhen Air Base,medium_airport,39.757801056,116.125999451
44098,Yongning Air Base,medium_airport,40.503101349,116.108001709
32006,Beijing Xijiao Airport,medium_airport,39.9608,116.257004
348158,Beijing Nanjiao Airport,medium_airport,39.48595,116.37236
44094,Tangguantun Air Base,medium_airport,38.781101,117.068001
44097,Yangcun Air Base,medium_airport,39.373298645,117.095001221
44089,Fengning Air Base,medium_airport,41.260799408,116.617996216
44101,Tangshan Zunhua Air Base,medium_airport,40.102501,117.887001
44168,Cangxian Air Base,medium_airport,38.403025,116.930924
44279,Pingquan Air Base,medium_airport,40.900409,118.677878
44172,Jiugucheng Air Base,medium_airport,37.491153,116.116726
44096,Wenshui Air Base,medium_airport,37.407799,111.966003
44091,Huairen Air Base,medium_airport,39.717499,113.142998
44090,Hohhot Bikeqi Air Base,medium_airport,40.737015,111.229749
32753,Shenyang Dongta Airport,medium_airport,41.784401,123.496002
43972,Laohutun Air Base,medium_airport,39.669998,121.765999
43973,Pulandian Air Base,medium_airport,39.450901,122.017998
44269,Fuxin Air Base,medium_airport,42.078899,121.662003
44275,Kaiyuan Air Base,medium_airport,42.525799,123.982002
44282,Shenyang Beiling Air Base,medium_airport,41.8708,123.439003
44284,Shenyang Yuhong Quansheng Airport,medium_airport,41.822498,123.299004
44288,Tuchengzi Air Base,medium_airport,38.912201,121.238998
43974,Sanshilipu Air Base,medium_airport,39.289671,121.762195
44182,Xingcheng Air Base,medium_airport,40.580328,120.700374
44287,Suizhong Air Base,medium_airport,40.298992,120.36152
339961,Huangdicun Naval Air Base,medium_airport,40.49979,120.659295
44263,Changchun Air Base,medium_airport,43.9053,125.197998
44286,Siping Air Base,medium_airport,43.156898,124.292
44270,Gongzhuling Air Base,medium_airport,43.526293,124.78466
44276,Lalin Air Base,medium_airport,45.259457,126.893536
44247,Shanghai Dachang Air Base,medium_airport,31.324438,121.409508
